"","canton_code","canton","district_code","district","commune_code","commune","type"
"1",1,"ZH",101,"Affoltern",1,"Aeugst am Albis","Type 1"
"2",1,"ZH",101,"Affoltern",2,"Affoltern am Albis","Type 4"
"3",1,"ZH",101,"Affoltern",3,"Bonstetten","Type 2"
"4",1,"ZH",101,"Affoltern",4,"Hausen am Albis","Type 1"
"5",1,"ZH",101,"Affoltern",5,"Hedingen","Type 2"
"6",1,"ZH",101,"Affoltern",6,"Kappel am Albis","Type 1"
"7",1,"ZH",101,"Affoltern",7,"Knonau","Type 1"
"8",1,"ZH",101,"Affoltern",8,"Maschwanden","Type 1"
"9",1,"ZH",101,"Affoltern",9,"Mettmenstetten","Type 1"
"10",1,"ZH",101,"Affoltern",10,"Obfelden","Type 3"
"11",1,"ZH",101,"Affoltern",11,"Ottenbach","Type 1"
"12",1,"ZH",101,"Affoltern",12,"Rifferswil","Type 1"
"13",1,"ZH",101,"Affoltern",13,"Stallikon","Type 2"
"14",1,"ZH",101,"Affoltern",14,"Wettswil am Albis","Type 2"
"15",1,"ZH",102,"Andelfingen",21,"Adlikon","Type 1"
"16",1,"ZH",102,"Andelfingen",22,"Benken (ZH)","Type 1"
"17",1,"ZH",102,"Andelfingen",23,"Berg am Irchel",NA
"18",1,"ZH",102,"Andelfingen",24,"Buch am Irchel","Type 1"
"19",1,"ZH",102,"Andelfingen",25,"Dachsen","Type 2"
"20",1,"ZH",102,"Andelfingen",26,"Dorf","Type 1"
"21",1,"ZH",102,"Andelfingen",27,"Feuerthalen","Type 4"
"22",1,"ZH",102,"Andelfingen",28,"Flaach","Type 1"
"23",1,"ZH",102,"Andelfingen",29,"Flurlingen","Type 1"
"24",1,"ZH",102,"Andelfingen",30,"Andelfingen","Type 2"
"25",1,"ZH",102,"Andelfingen",31,"Henggart","Type 1"
"26",1,"ZH",102,"Andelfingen",32,"Humlikon",NA
"27",1,"ZH",102,"Andelfingen",33,"Kleinandelfingen","Type 1"
"28",1,"ZH",102,"Andelfingen",34,"Laufen-Uhwiesen","Type 1"
"29",1,"ZH",102,"Andelfingen",35,"Marthalen","Type 1"
"30",1,"ZH",102,"Andelfingen",37,"Ossingen","Type 1"
"31",1,"ZH",102,"Andelfingen",38,"Rheinau","Type 1"
"32",1,"ZH",102,"Andelfingen",39,"Thalheim an der Thur","Type 1"
"33",1,"ZH",102,"Andelfingen",40,"Trüllikon","Type 1"
"34",1,"ZH",102,"Andelfingen",41,"Truttikon","Type 1"
"35",1,"ZH",102,"Andelfingen",43,"Volken","Type 1"
"36",1,"ZH",102,"Andelfingen",292,"Stammheim","Type 1"
"37",1,"ZH",103,"Bülach",51,"Bachenbülach","Type 4"
"38",1,"ZH",103,"Bülach",52,"Bassersdorf","Type 4"
"39",1,"ZH",103,"Bülach",53,"Bülach","Type 4"
"40",1,"ZH",103,"Bülach",54,"Dietlikon","Type 4"
"41",1,"ZH",103,"Bülach",55,"Eglisau","Type 3"
"42",1,"ZH",103,"Bülach",56,"Embrach","Type 4"
"43",1,"ZH",103,"Bülach",57,"Freienstein-Teufen","Type 1"
"44",1,"ZH",103,"Bülach",58,"Glattfelden","Type 3"
